username,tweet,date
user57,Finally good news: new solar farm approved!,2024-04-23
user58,Renewable energy is the future! Solar panels are everywhere now.,2024-01-21
user59,Renewable energy is the future! Solar panels are everywhere now.,2024-03-28
user60,We need more investment in solar and wind energy!,2024-01-28
user61,I can’t breathe today because of pollution… terrible air quality.,2024-04-19
user62,We need more investment in solar and wind energy!,2024-03-15
user63,We need more investment in solar and wind energy!,2024-01-21
user64,My city feels cleaner lately—maybe renewable projects work?,2024-04-04
user65,Politicians talk about green energy but do nothing.,2024-02-17
user66,Wind turbines near the coast look beautiful and powerful.,2024-02-11
user67,Finally good news: new solar farm approved!,2024-02-24
user68,The new climate policy might actually help reduce emissions.,2024-04-09
user69,Another air pollution alert today… this is getting worse.,2024-01-06
user70,The new climate policy might actually help reduce emissions.,2024-04-15
user71,We need more investment in solar and wind energy!,2024-01-19
user72,Climate change is affecting our daily lives more and more.,2024-02-10
user73,The new climate policy might actually help reduce emissions.,2024-04-11
user74,My city feels cleaner lately—maybe renewable projects work?,2024-02-01
user75,I can’t breathe today because of pollution… terrible air quality.,2024-04-26
user76,My city feels cleaner lately—maybe renewable projects work?,2024-02-09
user77,Politicians talk about green energy but do nothing.,2024-02-23
user78,We need more investment in solar and wind energy!,2024-01-02
user79,Renewable energy is the future! Solar panels are everywhere now.,2024-03-02
user80,I can’t breathe today because of pollution… terrible air quality.,2024-04-15
user81,I can’t breathe today because of pollution… terrible air quality.,2024-01-19
user82,Finally good news: new solar farm approved!,2024-01-15
user83,Politicians talk about green energy but do nothing.,2024-04-12
user84,Finally good news: new solar farm approved!,2024-04-20
user85,We need more investment in solar and wind energy!,2024-03-14
user86,Politicians talk about green energy but do nothing.,2024-03-27
user87,Another air pollution alert today… this is getting worse.,2024-01-14
user88,Politicians talk about green energy but do nothing.,2024-04-03
user89,Renewable energy is the future! Solar panels are everywhere now.,2024-01-22
user90,I can’t breathe today because of pollution… terrible air quality.,2024-03-24
user91,Renewable energy is the future! Solar panels are everywhere now.,2024-02-02
user92,Wind turbines near the coast look beautiful and powerful.,2024-02-08
user93,Finally good news: new solar farm approved!,2024-02-11
user94,Another air pollution alert today… this is getting worse.,2024-01-09
user95,Renewable energy is the future! Solar panels are everywhere now.,2024-01-28
user96,We need more investment in solar and wind energy!,2024-01-21
user97,Finally good news: new solar farm approved!,2024-04-25
user98,Wind turbines near the coast look beautiful and powerful.,2024-04-24
user99,Politicians talk about green energy but do nothing.,2024-02-03
user100,Another air pollution alert today… this is getting worse.,2024-03-15
